title,price,location,size_m2,url,page
Apartment for sale in El Menzah 6. Area 260 m². Thermal insu...,"410,000 TND",Ariana Ville,"260
						m²",N/A,6
Apartment to purchase in La Soukra. Area of 135 m². With lif...,"355,000 TND",La Soukra,"135
						m²",N/A,6
For Sale: 3-bedroom apartment in Ennasr 2,"395,000 TND",Ariana Ville,"155
						m²",N/A,6
"Fabulous apartment for sale in Nabeul. 3 rooms. Gardeners, W...","350,000 TND",Nabeul,"107
						m²",N/A,6
Sale of a lovely apartment. 4 comfortable rooms. Lift and te...,"295,000 TND",Sahloul,"140
						m²",N/A,6
Sale of a lovely apartment in Nouvelle Medina. Surface area...,"230,000 TND",Nouvelle Medina,"107
						m²",N/A,6
"Sell apartment. Area of 125 m². Soundproofing, Secured door...","285,000 TND",Kélibia,"125
						m²",N/A,6
"Apartment for sale. Small area 110 m². Stunning sea view, Se...","240,000 TND",Kélibia,"110
						m²",N/A,6
Apartment for sale. Surface area 80 m². Fully furnished,"270,000 TND",Kélibia,"80
						m²",N/A,6
Apartment to purchase. Area 80 m². Well furnished,Price on request,Kélibia,"80
						m²",N/A,6
N/A,N/A,N/A,N/A,N/A,6
Sell apartment in Chotrana 1. 3 comfortable rooms. Green are...,"500,000 TND",La Soukra,"112
						m²",N/A,7
Beautiful apartment for sale in Chotrana 1. 3 comfortable ro...,"480,000 TND",La Soukra,"102
						m²",N/A,7
Beautiful apartment for sale in Chotrana 1. Area 101 m². Par...,"500,000 TND",La Soukra,"101
						m²",N/A,7
Sell apartment in Chotrana 1. 3 beautiful rooms. Parking spa...,"750,000 TND",La Soukra,"139
						m²",N/A,7
Fabulous apartment for sale in Chotrana 1. Area of 204 m². C...,"950,000 TND",La Soukra,"204
						m²",N/A,7
Beautiful apartment for sale in Les Jardins de Carthage. Sur...,Price on request,Le Kram,"143
						m²",N/A,7
Find an apartment to buy in La Soukra. 3 rooms. Parking spac...,"700,000 TND",La Soukra,"135
						m²",N/A,7
JINENE SOUKRA: Luxury and Comfort at Chotrana 3,"From390,000 TND",La Soukra,Completed,N/A,7
Sell apartment in Les Jardins de Carthage. 3 large living ar...,Price on request,Le Kram,"121
						m²",N/A,7
Apartment to purchase in Aouina. 3 comfortable rooms. Soundp...,"245,000 TND",La Marsa,"111
						m²",N/A,7
Sale of a lovely apartment in Aouina. 3 rooms. Reinforced do...,"490,000 TND",La Marsa,"142
						m²",N/A,7
Beautiful apartment for sale in Aouina. 2 comfortable rooms...,"216,600 TND",La Marsa,"57
						m²",N/A,7
Apartment S1 at Les Jardins de Carthage,"370,000 TND",Le Kram,"65
						m²",N/A,7
Fabulous apartment for sale in Les Jardins de Carthage. 3 lo...,Price on request,Le Kram,"144
						m²",N/A,7
Sell apartment in Les Jardins de Carthage. Dimension 163 m²...,Price on request,La Marsa,"163
						m²",N/A,7
Sale of a lovely apartment in Les Jardins d'El Menzah 1.3 la...,Price on request,Ariana Ville,"103
						m²",N/A,7
Fabulous apartment for sale in Cité El Wafa. Small area 1 m²...,"239,400 TND",Nabeul,1 Room,N/A,7
Beautiful apartment for sale in Sousse Jaouhara. Area of 102...,"293,000 TND",Sousse Jaouhara,"102
						m²",N/A,7
Apartment to purchase in Ain Zaghouan Nord. Large area 164 m...,Price on request,La Marsa,"164
						m²",N/A,7
Sale of a lovely apartment in Gammarth. 3 comfortable rooms...,"975,000 TND",La Marsa,"109
						m²",N/A,7
Fabulous apartment for sale in Cité El Wafa. Large area 116...,"340,000 TND",Nabeul,"116
						m²",N/A,7
Fabulous apartment for sale in Cité El Khalil. Small area 14...,"825,000 TND",La Marsa,"143
						m²",N/A,7
Sell apartment in La Marsa. Area of 114 m². Cooker with oven,"375,000 TND",La Marsa,"114
						m²",N/A,7
S3 duplex with separate entrance in L'Aouina,"420,000 TND",La Marsa,"65
						m²",N/A,7
Sale of a lovely apartment. 4 comfortable rooms. Lift and te...,"295,000 TND",Sahloul,"140
						m²",N/A,7
Sale of a lovely apartment in Nouvelle Medina. Surface area...,"230,000 TND",Nouvelle Medina,"107
						m²",N/A,7
"Sell apartment. Area of 125 m². Soundproofing, Secured door...","285,000 TND",Kélibia,"125
						m²",N/A,7
"Apartment for sale. Small area 110 m². Stunning sea view, Se...","240,000 TND",Kélibia,"110
						m²",N/A,7
Apartment for sale. Surface area 80 m². Fully furnished,"270,000 TND",Kélibia,"80
						m²",N/A,7
